review_id,product_id,fake_prob
r0000095,B07H6YGKVJ,0.1125
r0000096,B0719SSFX7,0.1584
r0000097,B06Y2D85X5,0.1899
r0000098,B085S4T66X,0.7066
r0000099,B01G7SKNC8,0.6077
r0000100,B0831GSNK5,0.3447
r0000101,B07K6VJFQH,0.3838
r0000102,B07JQHQHQ5,0.7427
r0000103,B08B5F28KM,0.8539
r0000104,B08F4W898P,0.5789
r0000105,B07YX3D6XP,0.296
r0000106,B06WLLFFFN,0.2253
r0000107,B083H7G738,0.1668
r0000108,B01BE4ZLW2,0.5749
r0000109,B07ZJKVVLW,0.418
r0000110,B08D78PHNM,0.4069
r0000111,B08TQ7ZJTZ,0.5534
r0000112,B08HPNHZ8P,0.6507
r0000113,BD7B7TJQ4O,0.9777
r0000114,B005G461OA,0.9396
r0000115,B0198Q5P8I,0.1717
r0000116,B08R5DJGZQ,0.4206
r0000117,B07ZXXW2P3,0.6034
r0000118,B0BQWG4K9V,0.5419
r0000119,B086L7GY7Q,0.2287
r0000120,B018K6GHZC,0.2371
r0000121,B08F591JFC,0.3087
r0000122,B0719KWG8H,0.2403
r0000123,B0105WF7NC,0.6029
r0000124,B06Y5XQ6SJ,0.1126
r0000125,B01N9X6QUK,0.6164
r0000126,B071VXDS28,0.1748
r0000127,B00XBRCWSM,0.726
r0000128,B01IAEZ6ME,0.1812
r0000129,B00JFD620K,0.224
r0000130,B07597C7CK,0.2206
r0000131,B08SHLKBZN,0.5109
r0000132,B08GS1G9BH,0.7251
r0000133,B00FOGXC5U,0.5275
r0000134,B08GBZGRDQ,0.0571
r0000135,B087RFYV9P,0.4931
r0000136,BQD5GJZS6D,0.9582
r0000137,B09WJXPPCB,0.3553
r0000138,B00WSE2H3Y,0.182
r0000139,B0190JGPZA,0.5197
r0000140,B00N2M8AN2,0.6428
r0000141,B01E7PSJHE,0.3118
r0000142,B07S6LL2V4,0.6138
r0000143,B08R8NCMSH,0.1283
r0000144,B010CNT3TI,0.3212
r0000145,B00IPRGRW0,0.1783
r0000146,B06Y1B184J,0.7059
r0000147,B09F3LF24J,0.2258
r0000148,B092Z6B3GR,0.3935
r0000149,B01800LTG0,0.3996
r0000150,B00NO6H53W,0.4672
r0000151,B097H8FHRD,0.0895
r0000152,BR3KXLY5OR,0.9774
r0000153,B076PGCQ97,0.4532
r0000154,B07Z3YZ65X,0.183
r0000155,B01N1FB7E4,0.8496
r0000156,B008RS5ML4,0.9008
r0000157,B6M9ASU5PQ,0.9582
r0000158,B01NC3FIAT,0.4838
r0000159,B07RXPR48M,0.6332
r0000160,B009U0565K,0.7246
r0000161,B00O6ZZCEY,0.093
r0000162,B08CZS4PJ7,0.4579
r0000163,B01E2Y9CQC,0.8173
r0000164,B07XJW8Y8G,0.5652
r0000165,B006OO0CG8,0.4191
r0000166,B09GPXWL4B,0.1369
r0000167,B00H9BLZP2,0.9705
r0000168,B01F0HVOFC,0.5147
r0000169,B089KBCG34,0.5624
r0000170,B08YZ3854D,0.6962
r0000171,B001JJBE2E,0.3831
r0000172,B01J6TTPHY,0.3729
r0000173,B07RQRJ9WD,0.6452
r0000174,B01JG8RPRM,0.8336
r0000175,B07TLKZ2BQ,0.2667
r0000176,B07FXGD735,0.4576
r0000177,B07DXSM8VR,0.8031
r0000178,B01C2B3CFO,0.7205
r0000179,B07CLPZRK8,0.5155
r0000180,B00GWBSS3M,0.5519
r0000181,B07F97PSXZ,0.6459
r0000182,BVLD61B2GP,0.959
r0000183,B0171UQIUW,0.4633
r0000184,B00ANSD2LI,0.2228
r0000185,BV8Q78LJGT,0.9777
r0000186,B07Q82VGTV,0.5103
r0000187,BWB8SW0NFL,0.9774
r0000188,B09JYJ6VCY,0.219
r0000189,B01N9ALTXW,0.5064
r0000190,B07JNLX2MP,0.3411
r0000191,B082SK5B8S,0.528
r0000192,B07RZH5NKX,0.7731
r0000193,B5Y9X9LOBC,0.8876
r0000194,B00AQ25NB8,0.7707
r0000195,B096WN2RPQ,0.2796
r0000196,B07QFFDP89,0.8853
r0000197,B01MTGF6HG,0.2886
r0000198,B07CSKC6QJ,0.8143
r0000199,BZ12KJCAMI,0.9236
r0000200,B08RNQNFW1,0.343
r0000201,B07B6WZZ65,0.2587
r0000202,B011XUJYU2,0.7249
r0000203,BGGVUHEWS1,0.9669
r0000204,B007IAM4YU,0.3759
r0000205,B083511LPW,0.4092
r0000206,B0BPSMD42C,0.2191
r0000207,BAA068G3PX,0.9736
r0000208,B071FV4X7G,0.2431
r0000209,B07PY9H5LG,0.2533
r0000210,B08YRL8HSV,0.2902
r0000211,B0BFL2XBQJ,0.3234
r0000212,B010SZWNP6,0.4143
r0000213,B07K3QD4Y7,0.9438
r0000214,B085VDHB23,0.3055
r0000215,B01IMEH6GG,0.2047
r0000216,B07Z66Y6SN,0.3039
r0000217,BSYODCAZ2K,0.9218
r0000218,B1QKP2UGTI,0.9653
r0000219,B07L6R84RJ,0.3874
r0000220,B00V8W5SP6,0.3412
r0000221,B01NB1ZBA1,0.6102
r0000222,B09SYQHYXJ,0.6328
r0000223,B077D7NWK4,0.2003
r0000224,B00AEVP8QG,0.4352
r0000225,B01HCWXUIC,0.1529
r0000226,B000AMPICS,0.6239
r0000227,B07TK6647L,0.5276
r0000228,B000WBL484,0.5372
r0000229,BUM52NCQ3K,0.943
r0000230,B00WQEJV6M,0.565
r0000231,B09KPBL1GH,0.5769
r0000232,B01H2ERF72,0.2567
r0000233,B09GGH7NWL,0.3167
r0000234,B01I2MU2JQ,0.4367
r0000235,B07MHLZ3ZH,0.4181
r0000236,B00DPNKDR4,0.5171
r0000237,B07TK2PSJF,0.716
r0000238,B085WWRZTK,0.6283
r0000239,B07L622PJC,0.5439
r0000240,B001A1NJOM,0.2598
r0000241,B09CTBZVD6,0.7993
r0000242,B07PM3XSND,0.4578
r0000243,B014I0FDVI,0.5847
r0000244,B06ZZZPYK3,0.1952
r0000245,B00EEN2HCS,0.3351
r0000246,B0116QOQ7Y,0.2407
r0000247,B01GCVENGM,0.4149
r0000248,BAFB523REI,0.9629
r0000249,B00ZVTLMCA,0.7379
r0000250,B01JD1DJZE,0.8876
r0000251,B081Y5C6NN,0.5686
r0000252,B082Y7T532,0.9582
r0000253,B07Q6VRRMQ,0.9824
r0000254,B071R3PTQ2,0.2701
r0000255,B011KJ084M,0.2494
r0000256,B3XL4VSPKR,0.9669
r0000257,B0836X3MLZ,0.1092
r0000258,B08BYMRM3V,0.1791
r0000259,B075ZH5Z9F,0.4918
r0000260,B000OQFVLS,0.225
r0000261,B01DD1NOZU,0.6721
r0000262,B00PX1R0OU,0.4201
r0000263,B07QXQ49G1,0.166
r0000264,BFZK3IMF17,0.9774
r0000265,B01M2BWVTI,0.3236
r0000266,B001G60EPS,0.2505
r0000267,B01M8M1J8J,0.4751
r0000268,B08FBHNBP1,0.2895
r0000269,BEG5878Q5O,0.9008
r0000270,BCV5A862CS,0.98
r0000271,B08BXRGPKC,0.2202
r0000272,B0792X5DPB,0.715
r0000273,B00KCTER3U,0.8116
r0000274,B000FEGUIM,0.6357
r0000275,B00HSH0DPU,0.4117
r0000276,B00A9WCSNG,0.736
r0000277,B07LDBWXSN,0.2786
r0000278,B00H4BZM9M,0.5951
r0000279,B083BDVS36,0.6526
r0000280,B09XF5VG5W,0.7804
r0000281,B07TLMZL3T,0.5295
r0000282,B1171EOCRH,0.8876
r0000283,BQ66LLX3UD,0.9736
r0000284,BA8WZPBLI4,0.9236
r0000285,B01N4X4JWP,0.5207
r0000286,B01F97QDW2,0.3956
r0000287,B017BGJLBE,0.4776
r0000288,B00OWTCQNO,0.4427
r0000289,B00PR47CT6,0.1892
r0000290,B075SWDR6D,0.4721
r0000291,B000REIM1S,0.3709
r0000292,B07RWFY5XM,0.335
r0000293,B01M645L3W,0.217
r0000294,B07ZDM4RH2,0.4315
r0000295,B00L4HJX7O,0.7433
r0000296,B004E4GHRS,0.3803
r0000297,B01I36KDQS,0.3573
r0000298,B00MZT4UEG,0.1824
r0000299,B01CDEJ1H8,0.2828
r0000300,B07Y7T6FQN,0.5363
r0000301,B01G5TYWSA,0.4038
r0000302,B099YZNH3B,0.1993
r0000303,B008QI6JDA,0.5638
r0000304,B000V5F2NO,0.592
r0000305,B01195J43I,0.3925
r0000306,B089NNFDHB,0.5264
r0000307,B00011JN5G,0.7403
r0000308,B01DKQO7YK,0.9313
r0000309,B08DKK7KXV,0.3703
r0000310,B01JW6FHXW,0.951
r0000311,B07TLMZL3T,0.3975
r0000312,B09JG2619R,0.3384
r0000313,B000PKNPES,0.4386
r0000314,B01IIQVLG4,0.4081
r0000315,B06XT8VFN9,0.4994
r0000316,B07CV9NFGF,0.3617
r0000317,B07SL5LS7D,0.449
r0000318,B08L5342CJ,0.1513
r0000319,B0777VB8RC,0.4264
r0000320,B000142AN0,0.4456
r0000321,B07FQ9T8PB,0.3681
r0000322,B016RIWSDA,0.527
r0000323,B00XYLC7X0,0.4242
r0000324,BSRFDTE06U,0.9669
r0000325,B09MVJLVHD,0.2995
r0000326,B07577WHPQ,0.5553
r0000327,B00WGVA6ZA,0.7202
r0000328,B09FF76QX4,0.3304
r0000329,B06XP1R15N,0.3774
r0000330,B01LWP22Z3,0.2072
r0000331,B073WL4KYP,0.333
r0000332,B08GL76V6Y,0.399
r0000333,B01JHO28X6,0.6967
r0000334,B00HJ6Q82C,0.2256
r0000335,B0B18CG44R,0.7017
r0000336,B00XYMXJ0E,0.8075
r0000337,B06XCCVX46,0.2164
r0000338,B08JH59PT8,0.5954
r0000339,B08B4RN9WN,0.5905
r0000340,B00CK8XBPG,0.1776
r0000341,B005BZQHEC,0.3629
r0000342,B08VXT18GB,0.1656
r0000343,B07JBBGZXY,0.7846
r0000344,B00RJ4WVCK,0.9008
r0000345,B0107QYW14,0.4043
r0000346,BW809Y9HXY,0.951
r0000347,B09LQ7F5F1,0.8261
r0000348,B0794X6RVJ,0.537
r0000349,B081S5ZM4Z,0.395
r0000350,B00QSKLSWK,0.3366
r0000351,B0027F0CAY,0.8169
r0000352,B004UTSRNY,0.2481
r0000353,B00L0Y4DQ2,0.7845
r0000354,B075GTNJPM,0.4828
r0000355,B08K2M93WF,0.3757
r0000356,B01ANJXDRY,0.3439
r0000357,B087M3L8GC,0.2438
r0000358,B01N1P8BI7,0.7747
r0000359,B08B8BBWL8,0.4693
r0000360,B01LZUPT3C,0.2776
r0000361,BWZ907VT9X,0.9582
r0000362,B015FENI1I,0.4415
r0000363,B01CBANZKI,0.1905
r0000364,B0855W5PVR,0.858
r0000365,B07ML63WWZ,0.1582
r0000366,B4M5CIE6JI,0.9653
r0000367,B0CIISQ8LJ,0.9975
r0000368,B07X3G8HG3,0.388
r0000369,BF6RUFFMDG,0.9218
r0000370,B01CF2W436,0.449
r0000371,B07PR9KQQX,0.2011
r0000372,B083FS2K4V,0.2396
r0000373,B00MRHBA30,0.3732
r0000374,B003QKKDQ2,0.5518
r0000375,B08PYFNZ22,0.1159
r0000376,B007QG7G3U,0.951
r0000377,B2RMIC7F1R,0.9736
r0000378,B0095XAX00,0.1191
r0000379,B083HSVC71,0.6153
r0000380,BJUKFHUU4I,0.9396
r0000381,B07QL765W7,0.3933
r0000382,B01JKPRBMA,0.6477
r0000383,B019A4OAK6,0.9736
r0000384,B07HNS21D6,0.5168
r0000385,B07Q4PXHZ8,0.1862
r0000386,B01N2VTZCC,0.1361
r0000387,B00U2VQZC4,0.4733
r0000388,B0088F8H86,0.4313
r0000389,B40KPLCC7V,0.959
r0000390,B07H281V4V,0.7912
r0000391,B07TF6V23B,0.4382
r0000392,B09927YGLZ,0.2991
r0000393,B010CEDPF0,0.9777
r0000394,B08RSJ4B3G,0.3794
r0000395,B07JGS6WLZ,0.4884
r0000396,B00O9TFQAW,0.5894
r0000397,B0067BAIM6,0.4126
r0000398,B078YCFZDB,0.3515
r0000399,B01D2IXB20,0.4208
r0000400,B00ZUD4B5C,0.1651
r0000401,B082NKQ4ZT,0.1269
r0000402,B071JF6TN6,0.1155
r0000403,B01MFAI1KW,0.2723
r0000404,B07P31G574,0.1261
r0000405,B07YQXH9M6,0.6267
r0000406,B0BNWXRQ18,0.4975
r0000407,B0LIAN6VXJ,0.9774
r0000408,B00279LKBK,0.55
r0000409,B0789RX7Q3,0.7942
r0000410,B01M21PTTE,0.8849
r0000411,B088TXBCB5,0.5221
r0000412,B075R1ZP3F,0.2899
r0000413,B07XJYF1F9,0.8031
r0000414,B01DYXQQAC,0.6916
r0000415,BCESAKWPPN,0.959
r0000416,B07CSL21J8,0.3423
r0000417,BGMHMD84XO,0.9396
r0000418,B08KRTSBCX,0.4837
r0000419,B01C6STV4O,0.5605
r0000420,B071L91FP8,0.3125
r0000421,B0759M28L8,0.4396
r0000422,B0855K7L7X,0.479
r0000423,B00NFV1564,0.6874
r0000424,B07H3BD7ZG,0.5646
r0000425,BG0AE8NDJC,0.98
r0000426,B014I0FDVI,0.6114
r0000427,B012KLHGNK,0.871
r0000428,B078P1Z6PG,0.4058
r0000429,B009A2YIWU,0.606
r0000430,B01M2A9WO7,0.3667
r0000431,B06XK5RJMR,0.33
r0000432,B07VT2QBQ7,0.3207
r0000433,B6W50HC692,0.9669
r0000434,B002WD1X2C,0.3178
r0000435,B08N5C79V9,0.4246
r0000436,B0067BAIM6,0.6441
r0000437,B07CZ5S44D,0.5548
r0000438,B01M8QG3NM,0.3834
r0000439,B08CVJCS6J,0.253
r0000440,B079NWPDWG,0.4347
r0000441,B07G7B3F1F,0.5857
r0000442,B076VQL2Y9,0.1526
r0000443,B00H78Q1D8,0.3939
r0000444,B01850QOWE,0.1646
r0000445,BEYKVL3VVF,0.9666
r0000446,B07TDJLYBR,0.4893
r0000447,B07FHK54TG,0.3013
r0000448,B10RRXD83F,0.98
r0000449,B002JAXW6S,0.5992
r0000450,B07B3P1STJ,0.4316
r0000451,B079QDKFKJ,0.3725
r0000452,B00Q1BNG6C,0.391
r0000453,B06XQCSW9Y,0.9099
r0000454,B010BKJFHC,0.2962
r0000455,B01GVKCOQU,0.6131
r0000456,BAHY84KRSS,0.8876
r0000457,B01D20QD9Q,0.3368
r0000458,B83C8SUXR8,0.9774
r0000459,B07CQ4GN39,0.1928
r0000460,B092QJRD5T,0.4888
r0000461,B071S5GGW2,0.1603
r0000462,B08FZB532C,0.2985
r0000463,B0070Z7KME,0.4393
r0000464,BEUONQL6V3,0.9666
r0000465,B07218BYCC,0.5633
r0000466,B00LYRDJL0,0.848
r0000467,B005IYYF5E,0.3134
r0000468,B0C6GZ8GY5,0.9812
r0000469,B07GDNHBGY,0.434
r0000470,B017M402PO,0.6843
r0000471,B09DJSH46N,0.5496
r0000472,B07N6Y2LMW,0.4197
r0000473,B0067BAIM6,0.2557
r0000474,B07NDPR8TV,0.2909
r0000475,B00939KQCG,0.4654
r0000476,B01DA1PBMC,0.1025
r0000477,B089RXYC7B,0.3056
r0000478,B00JVLRZ3E,0.6541
r0000479,B092M54MP8,0.3232
r0000480,B07111SDRM,0.3436
r0000481,B07FKVTYJX,0.4364
r0000482,B01GUXUMZ8,0.8143
r0000483,B016G7B4GE,0.7762
r0000484,B000AMRIIK,0.3411
r0000485,B00HEU0EZK,0.4667
r0000486,B078J32XBK,0.6193
r0000487,B08291CKR1,0.3253
r0000488,B07DK3PF8X,0.4158
r0000489,B07GZ93Y6L,0.1468
r0000490,B019QY5QVS,0.6658
r0000491,B00JWWTIIM,0.4636
r0000492,B7AER2CHJX,0.9736
r0000493,B00DT4757A,0.2521
r0000494,B0145XI8RO,0.3083
r0000495,B07RZTYVBB,0.2648
r0000496,B077VQSHM6,0.9011
r0000497,B01DD1NOZU,0.1948
r0000498,B00KY2CRDC,0.6123
r0000499,B083L6DF9S,0.2721
r0000500,B07DDDPBGZ,0.8403
r0000501,B08V57QRL3,0.1975
r0000502,B08RDF7XZT,0.1878
r0000503,B08L1R3NLG,0.4108
r0000504,B075R6DNF8,0.4286
r0000505,B001W3YQZO,0.1859
r0000506,B01DAL3LSI,0.1778
r0000507,B01BJCLNIA,0.3949
r0000508,B00C9J08MU,0.7022
r0000509,B0749FXL1T,0.513
r0000510,BUPPS4PCFZ,0.959
r0000511,BXIRVRCU8T,0.9629
r0000512,B08CVMY4LF,0.5249
r0000513,B0106RBT10,0.6922
r0000514,B07JBJ1PR1,0.2308
r0000515,B010B5ZE4U,0.7487
r0000516,B074NDQ4H3,0.729
r0000517,B07CMFC97C,0.6657
r0000518,B00AJOJ0GW,0.7312
r0000519,B086YPYH1N,0.2335
r0000520,B08C7HVJSV,0.1605
r0000521,B0865ZVQ43,0.6188
r0000522,B078XPVJ4G,0.2002
r0000523,B0B85L2JTC,0.3194
r0000524,B08FBDBZF6,0.1425
r0000525,B07V1MPHKN,0.439
r0000526,B0070Z7KME,0.8286
r0000527,B07XRNTWN1,0.1352
r0000528,B09YYD9BWD,0.3426
r0000529,B07YYJC3Y5,0.5292
r0000530,B07PV1D9WV,0.3307
r0000531,B074W76NG3,0.2446
r0000532,B08VJ4BFD9,0.7867
r0000533,B8K5SFWIEB,0.969
r0000534,B07FCHMPKC,0.3314
r0000535,B0108L8MIC,0.5018
r0000536,B08YN8FS7Y,0.2258
r0000537,B07DMD8M5T,0.5793
r0000538,BBSZGSBUY2,0.9015
r0000539,B077DWJ4H5,0.8714
r0000540,B08291CKR1,0.543
r0000541,B01CPS73CM,0.5542
r0000542,B097B9MP3X,0.2699
r0000543,B00P6AEUQ4,0.4503
r0000544,B0117AZN76,0.2003
r0000545,B8FQ2GW35M,0.9774
r0000546,B002LAS26Q,0.433
r0000547,B08NBDP8NR,0.5803
r0000548,B07JFP4MBS,0.2328
r0000549,B088FLHLTG,0.2746
r0000550,B07RZZLB84,0.1311
r0000551,B088BK9FHS,0.276
r0000552,B07WPTYXS9,0.4787
r0000553,B01CRSWZAU,0.2364
r0000554,B07T6BCY83,0.5937
r0000555,B01G1F7HAS,0.5851
r0000556,B018F28B1Y,0.9753
r0000557,B08795LLT5,0.2828
r0000558,B084Z6T5FW,0.7764
r0000559,B07MDBVNJR,0.3855
r0000560,B01GBVTUF2,0.4214
r0000561,B000WOY4TW,0.4681
r0000562,B001VPEFPY,0.5326
r0000563,B0719KWG8H,0.5471
r0000564,B07C2M13JJ,0.378
r0000565,B01MU1PPVH,0.3629
r0000566,B08XNGMT2B,0.1168
r0000567,B00FQD0LNW,0.5573
r0000568,B0149YNDP6,0.2647
r0000569,B07ND4NK8G,0.2234
r0000570,B071P6V9JQ,0.5515
r0000571,B00Z1YF9CE,0.2774
r0000572,B00NLM1MXS,0.4829
r0000573,B08RCWTZ9M,0.4566
r0000574,B08K8G8XRF,0.5803
r0000575,B07H1Q3XJ9,0.3415
r0000576,B08VRXNFNH,0.4592
r0000577,B06RG82N1H,0.9396
r0000578,B07MCB9X4K,0.3556
r0000579,B00NFF00WU,0.1743
r0000580,B08177LGPL,0.1655
r0000581,B00J7P65CQ,0.1285
r0000582,B001E76F6G,0.834
r0000583,B016ZM2TNW,0.7473
r0000584,B093PXQDCR,0.6388
r0000585,B07WHFDV2G,0.6211
r0000586,B09SDJ5GHR,0.2286
r0000587,B0045QGYNM,0.319
r0000588,B085B5S92V,0.2886
r0000589,B08HGR5B37,0.2905
r0000590,B00EEN2HCS,0.3594
r0000591,B01DVQZXZ6,0.5724
r0000592,B0BF9TRWV1,0.3553
r0000593,B07FNFYYRR,0.3459
r0000594,B089W4Q3RT,0.4458
r0000595,B07RX6429D,0.143
r0000596,B01HQV46LY,0.5714
r0000597,B07K8X5VS4,0.3787
r0000598,B0145VTRB2,0.5072
r0000599,B00ZJLQBEY,0.4872
r0000600,B01GX4N99A,0.8317
r0000601,B08DXW3RV8,0.6301
r0000602,BX9EH318GC,0.969
r0000603,B0836GH5T9,0.407
r0000604,B01KZKYEW4,0.3495
r0000605,B007IAE5WY,0.2066
r0000606,B07SPB52RV,0.8356
r0000607,BJ0R8Y3J4F,0.9396
r0000608,B08HVKQ5QT,0.2374
r0000609,B07H4LV8TC,0.1368
r0000610,B098F3314C,0.1929
r0000611,B07BTL585D,0.3943
r0000612,B083BHNL7L,0.8853
r0000613,BXDPDVT0J0,0.969
r0000614,B00008IHO0,0.2008
r0000615,B08CMV3PV6,0.069
r0000616,B00FN4QVTM,0.2349
r0000617,B01JO6VZWM,0.2656
r0000618,B079R4G67K,0.868
r0000619,B071GQNN4G,0.3087
r0000620,B0769ZGPPN,0.4633
r0000621,B01CTQC9J2,0.2992
r0000622,B07PLXNQ99,0.3392
r0000623,B06XXY2TLN,0.7206
r0000624,B07TJBBF8D,0.6368
r0000625,B00ZUD4B5C,0.6356
r0000626,B8CPJI7S83,0.9669
r0000627,B014I0FDVI,0.3029
r0000628,B6CQS26I1E,0.98
r0000629,B07NKXCGHK,0.8483
r0000630,B00EQDBGYQ,0.2456
r0000631,B00SGCP90A,0.4101
r0000632,B09FH4L3JX,0.2543
r0000633,B09533Q4T9,0.4737
r0000634,B0872HHMS2,0.1987
r0000635,B00P472PNE,0.8853
r0000636,B00R1TAN7I,0.5698
r0000637,B00DOTJQ2W,0.432
r0000638,B01LAV3O6E,0.1789
r0000639,B07G49M1CP,0.4201
r0000640,B01I066QWG,0.3447
r0000641,B08GY96F87,0.2764
r0000642,B089SJBZMK,0.5299
r0000643,B00TNREDHW,0.936
r0000644,B0791LZNK9,0.9582
r0000645,BLP3TJX6WV,0.9774
r0000646,B078JRS4LJ,0.1952
r0000647,B08R5ZKSMP,0.5036
r0000648,B08CDHPJ4Z,0.5692
r0000649,B071JGBXXK,0.2248
r0000650,B087WZ664B,0.5649
r0000651,B00YQTQ9I8,0.3737
r0000652,B08L5T2T2L,0.3849
r0000653,BKW173NT62,0.9669
r0000654,BC7Z27R956,0.98
r0000655,BF0FN9853Y,0.9736
r0000656,B09T3L32T7,0.7131
r0000657,B01I14J0FM,0.2281
r0000658,B077MWXTBF,0.6218
r0000659,B078H884ZG,0.1991
r0000660,B09CVYW2X8,0.351
r0000661,B088BJXTPM,0.2021
r0000662,B08538Y5BJ,0.9582
r0000663,B07P6TN5RF,0.8859
r0000664,B00BFZ4VFO,0.3375
r0000665,B01N0G00TH,0.7325
r0000666,B08S32CZW7,0.6694
r0000667,B06XKYTM82,0.3524
r0000668,B01N0OPNWF,0.8178
r0000669,B001F0NKEC,0.3175
r0000670,B01FFTDYIU,0.548
r0000671,B0BRMY1ZNZ,0.2289
r0000672,B0732SGQ7M,0.3844
r0000673,BID55OAFBT,0.9774
r0000674,B08YQGPBSM,0.2509
r0000675,B08BNN9X64,0.3385
r0000676,B07P3733RB,0.6051
r0000677,B06Y5JFTHV,0.6491
r0000678,B4QAR3TM44,0.9582
r0000679,B08RDQCC69,0.5894
r0000680,BDVYSFJ7ET,0.9736
r0000681,B075VTFVCW,0.7751
r0000682,B08R5LK5WQ,0.618
r0000683,B00L2F6FG0,0.6169
r0000684,B09NXY4XHV,0.2126
r0000685,B079KVKQKN,0.6148
r0000686,B07R3CRZRG,0.2153
r0000687,B081362PRH,0.387
r0000688,BLBP90QZHQ,0.9236
r0000689,B01IAFD8D2,0.2765
r0000690,B01AYTGWA8,0.3904
r0000691,B079YM16JQ,0.3656
r0000692,B004BS09WG,0.3953
r0000693,B07FX9173F,0.1132
r0000694,BAFYTYSL2R,0.9669
r0000695,B07QRTW5TB,0.2014
r0000696,B07FL8CYB9,0.7697
r0000697,B01GA603C2,0.6031
r0000698,B07VT2QBQ7,0.6646
r0000699,B00C0YZBJE,0.331
r0000700,B00WUW3JRM,0.4042
r0000701,B06XPFN2YH,0.1564
r0000702,B001LBFC6E,0.3266
r0000703,BSHHT31SUG,0.98
r0000704,B00GE9SQ5C,0.2698
r0000705,B00ZLOVU6I,0.257
r0000706,B012XYSK1G,0.1471
r0000707,B00HFXW45E,0.3038
r0000708,B00Q1BNG6C,0.2427
r0000709,B074ZNPK5C,0.511
r0000710,B01C2B3DKI,0.3176
r0000711,B011QJ3CD0,0.5521
r0000712,B09M88NZKV,0.6888
r0000713,B08KSX74MC,0.682
